job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name,remote_work_type,posting_year,application_duration,posting_month_num,posting_month
Autonomous Systems Engineer,231393,Executive Level,Full-Time,Canada,Large,0,"PyTorch, Java, Tableau, GCP, Azure",Bachelor,12,Manufacturing,2025-01-26,2025-04-03,8.9,Future Systems,On-site,2025,67,1,January
AI Software Engineer,58405,Entry Level,Full-Time,France,Large,100,"NLP, Python, Scala",PhD,1,Media,2025-02-18,2025-03-26,9.2,Autonomous Tech,Remote,2025,36,2,February
Robotics Engineer,60440,Entry Level,Part-Time,India,Large,0,"Docker, MLOps, Python, Spark, NLP",Associate,1,Real Estate,2025-04-15,2025-05-31,7.6,Algorithmic Solutions,On-site,2025,46,4,April
Head of AI,195647,Senior Level,Freelance,Denmark,Large,100,"SQL, Java, Linux",Associate,9,Energy,2024-08-07,2024-09-07,7.0,Cloud AI Solutions,Remote,2024,31,8,August
Data Analyst,298418,Executive Level,Freelance,Denmark,Large,0,"Python, TensorFlow, AWS, MLOps",Master,12,Media,2024-05-11,2024-07-23,8.3,Cloud AI Solutions,On-site,2024,73,5,May
Research Scientist,182777,Senior Level,Freelance,Norway,Medium,50,"Kubernetes, Spark, PyTorch",PhD,6,Consulting,2025-01-31,2025-04-02,5.8,Predictive Systems,Hybrid,2025,61,1,January
AI Research Scientist,87006,Mid Level,Part-Time,Germany,Medium,50,"R, NLP, Python",Master,3,Telecommunications,2024-01-08,2024-02-24,9.9,Cloud AI Solutions,Hybrid,2024,47,1,January
Machine Learning Engineer,69827,Entry Level,Contract,United Kingdom,Large,0,"SQL, Computer Vision, AWS, PyTorch, GCP",Master,1,Finance,2024-10-11,2024-10-26,9.7,Cloud AI Solutions,On-site,2024,15,10,October
NLP Engineer,206945,Executive Level,Part-Time,Germany,Small,100,"GCP, Linux, Python, TensorFlow, Java",Bachelor,12,Energy,2025-04-10,2025-06-13,5.9,Future Systems,Remote,2025,64,4,April
Autonomous Systems Engineer,99795,Entry Level,Freelance,Switzerland,Medium,100,"Hadoop, Deep Learning, Statistics, Azure",Bachelor,1,Telecommunications,2024-05-20,2024-06-11,6.9,Algorithmic Solutions,Remote,2024,22,5,May
AI Software Engineer,114667,Mid Level,Part-Time,Denmark,Small,0,"Git, SQL, Python, TensorFlow",Bachelor,4,Consulting,2025-04-08,2025-05-21,5.9,Autonomous Tech,On-site,2025,43,4,April
Robotics Engineer,128576,Mid Level,Part-Time,Denmark,Large,50,"Hadoop, PyTorch, Linux",Associate,4,Automotive,2024-10-04,2024-11-28,9.4,Neural Networks Co,Hybrid,2024,55,10,October
ML Ops Engineer,60097,Entry Level,Part-Time,Germany,Small,0,"Spark, Hadoop, GCP, Deep Learning, Statistics",Master,1,Telecommunications,2024-09-30,2024-11-30,6.3,AI Innovations,On-site,2024,61,9,September
Autonomous Systems Engineer,101978,Mid Level,Full-Time,United States,Small,0,"Java, GCP, SQL, MLOps",Master,3,Media,2024-06-15,2024-07-17,8.9,Cognitive Computing,On-site,2024,32,6,June
AI Research Scientist,353726,Executive Level,Contract,Switzerland,Medium,100,"Kubernetes, Java, Scala, Computer Vision",PhD,13,Manufacturing,2024-10-25,2024-12-20,5.2,DeepTech Ventures,Remote,2024,56,10,October
AI Architect,95186,Executive Level,Full-Time,Austria,Small,100,"PyTorch, Kubernetes, Linux, Computer Vision",Master,18,Retail,2024-11-02,2024-12-09,7.1,Future Systems,Remote,2024,37,11,November
AI Specialist,133855,Senior Level,Freelance,Singapore,Small,0,"SQL, Python, GCP, R",PhD,8,Gaming,2024-09-02,2024-09-17,7.8,Digital Transformation LLC,On-site,2024,15,9,September
Head of AI,162221,Senior Level,Freelance,Australia,Large,50,"MLOps, R, Tableau",PhD,9,Energy,2024-10-15,2024-11-06,8.2,Autonomous Tech,Hybrid,2024,22,10,October
ML Ops Engineer,124709,Executive Level,Full-Time,Canada,Small,100,"Docker, Python, TensorFlow, Statistics, PyTorch",Bachelor,19,Energy,2024-06-27,2024-09-03,8.4,DataVision Ltd,Remote,2024,68,6,June
Data Scientist,58778,Entry Level,Part-Time,France,Medium,50,"PyTorch, Kubernetes, Mathematics, GCP, Linux",Associate,0,Automotive,2024-11-27,2025-01-07,5.5,Smart Analytics,Hybrid,2024,41,11,November
AI Consultant,59227,Mid Level,Freelance,Finland,Small,50,"Java, PyTorch, TensorFlow",Bachelor,3,Consulting,2025-03-27,2025-05-26,5.8,Future Systems,Hybrid,2025,60,3,March
NLP Engineer,191741,Executive Level,Contract,China,Large,0,"SQL, R, Linux, AWS, TensorFlow",PhD,11,Transportation,2024-11-13,2024-12-21,5.7,AI Innovations,On-site,2024,38,11,November
Computer Vision Engineer,125762,Executive Level,Freelance,Japan,Medium,0,"NLP, R, Hadoop, TensorFlow, Spark",Bachelor,14,Manufacturing,2024-06-02,2024-07-14,5.3,DataVision Ltd,On-site,2024,42,6,June
AI Software Engineer,100678,Mid Level,Full-Time,United States,Small,100,"Deep Learning, Hadoop, R",PhD,4,Automotive,2024-01-09,2024-02-18,6.5,AI Innovations,Remote,2024,40,1,January
Machine Learning Engineer,117568,Senior Level,Part-Time,Israel,Large,100,"Python, Spark, Docker, AWS",Master,9,Telecommunications,2024-06-12,2024-07-10,7.7,DeepTech Ventures,Remote,2024,28,6,June
Autonomous Systems Engineer,134632,Executive Level,Part-Time,China,Small,100,"Scala, Python, NLP",PhD,17,Gaming,2024-04-14,2024-06-25,6.4,Autonomous Tech,Remote,2024,72,4,April
Robotics Engineer,106560,Mid Level,Contract,Switzerland,Small,50,"PyTorch, Deep Learning, Computer Vision, NLP",Associate,2,Telecommunications,2024-10-12,2024-12-03,5.4,Cognitive Computing,Hybrid,2024,52,10,October
AI Software Engineer,94044,Entry Level,Part-Time,United States,Large,100,"Docker, TensorFlow, AWS",PhD,1,Healthcare,2024-02-18,2024-04-30,8.4,Autonomous Tech,Remote,2024,72,2,February
AI Research Scientist,79076,Senior Level,Full-Time,Japan,Medium,50,"SQL, Git, Statistics, PyTorch, Java",Associate,6,Government,2024-01-27,2024-02-19,7.0,Predictive Systems,Hybrid,2024,23,1,January
AI Software Engineer,198743,Executive Level,Freelance,Canada,Medium,50,"Git, Azure, Java",Master,19,Manufacturing,2024-11-11,2025-01-09,9.0,Cloud AI Solutions,Hybrid,2024,59,11,November
Deep Learning Engineer,97175,Senior Level,Full-Time,Japan,Medium,50,"Java, Linux, Data Visualization, R",Master,8,Telecommunications,2024-08-02,2024-09-18,9.9,Algorithmic Solutions,Hybrid,2024,47,8,August
AI Architect,64832,Mid Level,Part-Time,Austria,Small,50,"Java, Python, Data Visualization, Kubernetes",Associate,2,Consulting,2024-12-10,2025-02-11,6.4,Autonomous Tech,Hybrid,2024,63,12,December
Data Engineer,143835,Senior Level,Freelance,Singapore,Small,50,"Python, TensorFlow, Computer Vision, Hadoop, Kubernetes",Associate,5,Education,2024-11-27,2025-01-12,6.0,AI Innovations,Hybrid,2024,46,11,November
Data Scientist,181246,Senior Level,Contract,Denmark,Medium,0,"TensorFlow, Python, Tableau, Hadoop",PhD,9,Manufacturing,2024-08-06,2024-08-23,8.1,Smart Analytics,On-site,2024,17,8,August
Principal Data Scientist,46950,Mid Level,Freelance,Ireland,Small,100,"Docker, SQL, GCP, Scala, Git",Bachelor,2,Government,2025-02-03,2025-04-07,8.4,Cognitive Computing,Remote,2025,63,2,February
AI Consultant,84808,Senior Level,Contract,Japan,Small,0,"Java, Hadoop, AWS, Mathematics, Deep Learning",PhD,7,Consulting,2025-02-11,2025-03-09,6.6,Cognitive Computing,On-site,2025,26,2,February
AI Architect,153304,Senior Level,Freelance,Singapore,Large,0,"Linux, AWS, Git, Python",PhD,7,Real Estate,2024-04-08,2024-05-31,7.6,Digital Transformation LLC,On-site,2024,53,4,April
Data Analyst,187668,Executive Level,Part-Time,Singapore,Medium,0,"Python, Data Visualization, Mathematics",Master,14,Manufacturing,2024-05-14,2024-07-24,8.8,DataVision Ltd,On-site,2024,71,5,May
AI Specialist,72769,Mid Level,Contract,Ireland,Medium,50,"Python, TensorFlow, Linux, Java, Kubernetes",Associate,4,Transportation,2024-07-17,2024-08-29,8.7,Autonomous Tech,Hybrid,2024,43,7,July
Research Scientist,222757,Executive Level,Full-Time,Singapore,Small,0,"Docker, Git, MLOps",Master,10,Real Estate,2024-12-22,2025-02-02,6.7,Neural Networks Co,On-site,2024,42,12,December
Data Engineer,160302,Executive Level,Part-Time,Norway,Small,0,"Mathematics, Scala, NLP, SQL",PhD,11,Retail,2025-04-18,2025-06-28,9.7,Advanced Robotics,On-site,2025,71,4,April
NLP Engineer,78913,Mid Level,Contract,India,Large,100,"PyTorch, Scala, Python",Bachelor,2,Energy,2024-03-24,2024-05-27,6.1,AI Innovations,Remote,2024,64,3,March
Research Scientist,226519,Executive Level,Freelance,Netherlands,Medium,50,"AWS, Mathematics, NLP, Linux",Master,18,Telecommunications,2024-07-14,2024-08-20,8.9,Autonomous Tech,Hybrid,2024,37,7,July
Research Scientist,175559,Senior Level,Freelance,Denmark,Medium,0,"SQL, Data Visualization, MLOps, Java",Bachelor,8,Telecommunications,2025-02-15,2025-03-10,9.5,Cloud AI Solutions,On-site,2025,23,2,February
Computer Vision Engineer,141569,Senior Level,Freelance,Canada,Medium,50,"Azure, Kubernetes, Docker, Computer Vision, Spark",Associate,6,Government,2024-12-12,2025-01-18,9.1,Predictive Systems,Hybrid,2024,37,12,December
NLP Engineer,164894,Senior Level,Full-Time,France,Large,100,"Kubernetes, Scala, Mathematics, NLP",Associate,7,Finance,2025-02-17,2025-04-23,9.7,Predictive Systems,Remote,2025,65,2,February
Data Analyst,88878,Mid Level,Full-Time,Japan,Large,0,"Deep Learning, Hadoop, NLP",Master,4,Real Estate,2024-07-25,2024-09-11,5.6,DeepTech Ventures,On-site,2024,48,7,July
ML Ops Engineer,101624,Senior Level,Freelance,Germany,Small,0,"Azure, Python, NLP, Git, TensorFlow",Master,6,Consulting,2025-04-12,2025-04-28,7.3,Predictive Systems,On-site,2025,16,4,April
Head of AI,84728,Mid Level,Full-Time,Singapore,Small,100,"Python, TensorFlow, Scala",Master,3,Healthcare,2025-01-06,2025-02-19,8.3,Smart Analytics,Remote,2025,44,1,January
Research Scientist,97260,Executive Level,Full-Time,Austria,Medium,100,"Azure, Scala, Statistics",Associate,17,Manufacturing,2024-01-11,2024-02-01,5.5,Algorithmic Solutions,Remote,2024,21,1,January
Machine Learning Researcher,69936,Mid Level,Freelance,Singapore,Small,0,"Kubernetes, AWS, Deep Learning, R, Spark",Bachelor,4,Energy,2025-01-31,2025-03-25,8.3,Future Systems,On-site,2025,53,1,January
Data Engineer,75400,Mid Level,Part-Time,South Korea,Large,0,"Computer Vision, MLOps, Docker, Azure",Associate,3,Transportation,2025-03-31,2025-05-18,7.1,Machine Intelligence Group,On-site,2025,48,3,March
ML Ops Engineer,107195,Entry Level,Freelance,Denmark,Large,0,"AWS, PyTorch, Tableau, Computer Vision",PhD,0,Retail,2024-07-05,2024-08-17,7.8,TechCorp Inc,On-site,2024,43,7,July
Data Scientist,75537,Senior Level,Full-Time,South Korea,Medium,100,"Hadoop, Mathematics, Scala, PyTorch",Bachelor,8,Real Estate,2024-02-28,2024-04-23,7.3,Quantum Computing Inc,Remote,2024,55,2,February
AI Research Scientist,109409,Mid Level,Freelance,Norway,Large,50,"Statistics, Scala, Spark, Java, Azure",Associate,2,Education,2024-11-07,2025-01-10,8.3,DeepTech Ventures,Hybrid,2024,64,11,November
AI Consultant,49641,Entry Level,Contract,India,Large,100,"Java, Deep Learning, SQL, MLOps",Master,0,Media,2024-09-19,2024-11-26,9.5,Autonomous Tech,Remote,2024,68,9,September
Machine Learning Researcher,60830,Entry Level,Freelance,Denmark,Small,0,"Linux, Git, Java, Python, PyTorch",Bachelor,0,Manufacturing,2024-09-09,2024-10-21,7.9,DataVision Ltd,On-site,2024,42,9,September
Machine Learning Engineer,48516,Entry Level,Freelance,South Korea,Large,100,"SQL, AWS, Data Visualization, NLP, Java",PhD,1,Automotive,2025-03-19,2025-05-08,5.7,DeepTech Ventures,Remote,2025,50,3,March
Computer Vision Engineer,98740,Senior Level,Freelance,Sweden,Small,0,"GCP, Spark, TensorFlow, Kubernetes",Associate,9,Automotive,2024-09-17,2024-10-28,5.8,Advanced Robotics,On-site,2024,41,9,September
Data Scientist,109279,Executive Level,Contract,China,Medium,50,"AWS, SQL, Git",Associate,12,Healthcare,2024-12-14,2025-01-08,9.1,Digital Transformation LLC,Hybrid,2024,25,12,December
Deep Learning Engineer,103692,Mid Level,Contract,Norway,Medium,0,"AWS, Deep Learning, SQL",Master,2,Energy,2024-05-09,2024-06-29,5.8,Predictive Systems,On-site,2024,51,5,May
Machine Learning Researcher,110492,Mid Level,Part-Time,Singapore,Large,0,"Azure, R, Tableau, Java",PhD,3,Gaming,2024-04-22,2024-05-06,7.7,Algorithmic Solutions,On-site,2024,14,4,April
Data Scientist,226973,Executive Level,Freelance,Germany,Large,100,"PyTorch, SQL, Python, R",Master,10,Telecommunications,2024-11-24,2025-01-24,7.3,DeepTech Ventures,Remote,2024,61,11,November
Autonomous Systems Engineer,171987,Senior Level,Freelance,United States,Medium,100,"GCP, SQL, Kubernetes, R, PyTorch",Associate,6,Education,2025-04-17,2025-05-24,5.4,Future Systems,Remote,2025,37,4,April
AI Consultant,173054,Senior Level,Contract,Sweden,Large,100,"Git, GCP, MLOps, Deep Learning, Statistics",PhD,6,Finance,2024-07-04,2024-07-31,7.1,Algorithmic Solutions,Remote,2024,27,7,July
Autonomous Systems Engineer,73669,Mid Level,Contract,Ireland,Large,0,"SQL, Hadoop, PyTorch, Tableau, Statistics",Master,2,Finance,2024-10-08,2024-12-17,7.4,Predictive Systems,On-site,2024,70,10,October
AI Architect,98984,Mid Level,Full-Time,Denmark,Medium,100,"Git, Python, PyTorch",Bachelor,2,Gaming,2024-09-12,2024-11-22,9.2,Digital Transformation LLC,Remote,2024,71,9,September
Data Scientist,101933,Mid Level,Part-Time,United Kingdom,Large,0,"PyTorch, AWS, Java, Tableau",Associate,2,Education,2024-03-30,2024-06-04,10.0,Algorithmic Solutions,On-site,2024,66,3,March
AI Product Manager,107603,Senior Level,Part-Time,Finland,Medium,0,"PyTorch, NLP, Tableau, Computer Vision",Associate,6,Technology,2025-04-14,2025-04-28,8.5,Future Systems,On-site,2025,14,4,April
Robotics Engineer,116150,Senior Level,Full-Time,Canada,Small,0,"PyTorch, Kubernetes, Computer Vision",Bachelor,7,Government,2025-01-04,2025-01-20,8.0,Future Systems,On-site,2025,16,1,January
AI Product Manager,170702,Executive Level,Full-Time,United States,Small,100,"Computer Vision, SQL, NLP, Hadoop, TensorFlow",Bachelor,13,Retail,2024-05-07,2024-06-12,6.2,DeepTech Ventures,Remote,2024,36,5,May
Data Scientist,149281,Executive Level,Full-Time,Japan,Small,50,"Spark, TensorFlow, Java, NLP, Deep Learning",PhD,14,Government,2024-06-08,2024-07-12,9.7,Neural Networks Co,Hybrid,2024,34,6,June
Data Scientist,43707,Entry Level,Part-Time,Japan,Large,0,"Python, Git, TensorFlow, Java",Master,1,Manufacturing,2024-01-14,2024-02-19,7.0,Cognitive Computing,On-site,2024,36,1,January
AI Software Engineer,85131,Mid Level,Full-Time,United Kingdom,Medium,50,"R, SQL, Spark",Associate,4,Healthcare,2024-01-14,2024-02-20,9.9,Quantum Computing Inc,Hybrid,2024,37,1,January
AI Specialist,85625,Senior Level,Part-Time,China,Small,100,"Kubernetes, PyTorch, Git",Associate,9,Telecommunications,2025-03-20,2025-04-22,8.0,Smart Analytics,Remote,2025,33,3,March
Computer Vision Engineer,127955,Senior Level,Part-Time,Germany,Small,100,"Kubernetes, Git, Azure, GCP",Bachelor,6,Automotive,2024-08-12,2024-10-21,6.6,Autonomous Tech,Remote,2024,70,8,August
NLP Engineer,53707,Entry Level,Part-Time,China,Medium,50,"Scala, Python, SQL, GCP",Master,0,Healthcare,2024-02-29,2024-04-20,7.6,Algorithmic Solutions,Hybrid,2024,51,2,February
Deep Learning Engineer,152266,Executive Level,Contract,Israel,Medium,50,"Java, Kubernetes, Docker",Associate,12,Energy,2024-05-02,2024-05-26,6.5,Autonomous Tech,Hybrid,2024,24,5,May
Principal Data Scientist,104315,Mid Level,Contract,United Kingdom,Medium,50,"Kubernetes, NLP, Python",PhD,3,Technology,2025-02-27,2025-04-05,6.5,Advanced Robotics,Hybrid,2025,37,2,February
AI Product Manager,49234,Mid Level,Freelance,Finland,Small,0,"Python, TensorFlow, Azure, PyTorch, Deep Learning",Master,2,Finance,2024-01-03,2024-02-04,9.3,Algorithmic Solutions,On-site,2024,32,1,January
Principal Data Scientist,104397,Senior Level,Full-Time,Australia,Small,50,"Mathematics, NLP, Deep Learning, Python",PhD,8,Government,2024-06-27,2024-08-22,5.7,Digital Transformation LLC,Hybrid,2024,56,6,June
Data Analyst,117198,Senior Level,Freelance,France,Medium,50,"R, Data Visualization, Git, GCP",Bachelor,8,Gaming,2025-04-07,2025-05-27,5.9,Digital Transformation LLC,Hybrid,2025,50,4,April
Machine Learning Engineer,63395,Entry Level,Part-Time,Norway,Small,0,"AWS, Spark, Data Visualization, Linux",Associate,0,Transportation,2025-01-06,2025-02-17,7.3,Machine Intelligence Group,On-site,2025,42,1,January
AI Specialist,77545,Entry Level,Freelance,Netherlands,Medium,50,"Scala, R, SQL, NLP, Java",Master,0,Retail,2025-04-04,2025-06-07,7.4,DataVision Ltd,Hybrid,2025,64,4,April
AI Software Engineer,161796,Senior Level,Freelance,Australia,Large,100,"Spark, PyTorch, TensorFlow, Scala",Associate,9,Finance,2024-11-22,2025-01-08,7.0,Advanced Robotics,Remote,2024,47,11,November
Data Analyst,217701,Executive Level,Part-Time,Denmark,Small,0,"PyTorch, GCP, Data Visualization, Deep Learning, Azure",Bachelor,10,Healthcare,2024-03-01,2024-05-08,7.1,Cloud AI Solutions,On-site,2024,68,3,March
Deep Learning Engineer,128702,Senior Level,Part-Time,Sweden,Small,100,"Deep Learning, Data Visualization, MLOps, Linux",PhD,8,Healthcare,2025-04-29,2025-05-13,9.7,Neural Networks Co,Remote,2025,14,4,April
Machine Learning Engineer,63866,Entry Level,Full-Time,Sweden,Large,100,"Python, GCP, Data Visualization",Bachelor,0,Media,2025-02-28,2025-04-12,8.6,Smart Analytics,Remote,2025,43,2,February
Data Scientist,171813,Senior Level,Part-Time,Denmark,Small,0,"PyTorch, Tableau, GCP",Master,8,Energy,2025-04-15,2025-05-06,7.3,Future Systems,On-site,2025,21,4,April
Research Scientist,138694,Executive Level,Contract,China,Small,100,"Python, Data Visualization, TensorFlow, GCP",Bachelor,19,Education,2024-08-14,2024-09-18,9.3,Predictive Systems,Remote,2024,35,8,August
Autonomous Systems Engineer,130454,Mid Level,Full-Time,Singapore,Large,100,"GCP, Kubernetes, MLOps, Data Visualization",Master,2,Education,2024-05-26,2024-08-07,7.9,TechCorp Inc,Remote,2024,73,5,May
Head of AI,145190,Senior Level,Full-Time,Canada,Large,0,"Git, PyTorch, Spark, NLP, Computer Vision",PhD,5,Technology,2025-01-08,2025-03-11,5.5,Smart Analytics,On-site,2025,62,1,January
ML Ops Engineer,47965,Mid Level,Part-Time,Japan,Small,50,"Python, Git, Computer Vision, TensorFlow",Master,4,Finance,2024-12-29,2025-02-18,7.8,DeepTech Ventures,Hybrid,2024,51,12,December
Data Scientist,61289,Entry Level,Full-Time,Germany,Large,100,"Python, PyTorch, R",Bachelor,0,Finance,2024-10-17,2024-11-14,5.7,Cognitive Computing,Remote,2024,28,10,October
Computer Vision Engineer,73637,Senior Level,Part-Time,Israel,Medium,50,"Deep Learning, Docker, Java",Bachelor,9,Transportation,2025-02-01,2025-03-24,6.8,Quantum Computing Inc,Hybrid,2025,51,2,February
AI Architect,64826,Entry Level,Contract,France,Medium,0,"GCP, Scala, Java, SQL, Deep Learning",PhD,0,Consulting,2024-08-10,2024-09-23,5.6,Advanced Robotics,On-site,2024,44,8,August
NLP Engineer,146600,Executive Level,Full-Time,Japan,Large,0,"Python, Data Visualization, Kubernetes, TensorFlow, Computer Vision",Bachelor,18,Media,2024-07-26,2024-09-15,8.4,Machine Intelligence Group,On-site,2024,51,7,July
AI Software Engineer,172271,Senior Level,Full-Time,Denmark,Small,50,"Git, R, Scala, Kubernetes",PhD,9,Consulting,2024-08-20,2024-10-18,8.5,Neural Networks Co,Hybrid,2024,59,8,August
AI Specialist,156725,Executive Level,Contract,South Korea,Large,0,"AWS, Kubernetes, NLP",Associate,19,Media,2024-07-13,2024-09-02,5.0,Advanced Robotics,On-site,2024,51,7,July
Robotics Engineer,94680,Entry Level,Full-Time,Denmark,Large,0,"Hadoop, Git, PyTorch, Azure, TensorFlow",PhD,1,Transportation,2025-03-18,2025-05-07,6.2,Future Systems,On-site,2025,50,3,March
Data Analyst,92035,Senior Level,Contract,Israel,Medium,100,"AWS, Linux, TensorFlow, Git",PhD,6,Energy,2025-02-12,2025-03-04,9.5,Algorithmic Solutions,Remote,2025,20,2,February
Data Engineer,77042,Senior Level,Freelance,China,Small,0,"Data Visualization, MLOps, Python, TensorFlow",Bachelor,6,Education,2024-06-16,2024-08-15,7.5,Machine Intelligence Group,On-site,2024,60,6,June
Machine Learning Engineer,272652,Executive Level,Freelance,Denmark,Small,0,"Kubernetes, Java, NLP, Tableau, Hadoop",PhD,19,Automotive,2025-01-13,2025-02-26,7.2,Autonomous Tech,On-site,2025,44,1,January
AI Product Manager,117510,Mid Level,Full-Time,France,Large,0,"Data Visualization, PyTorch, Tableau",Associate,2,Media,2024-08-14,2024-09-19,7.6,Future Systems,On-site,2024,36,8,August
NLP Engineer,80985,Entry Level,Full-Time,Netherlands,Medium,0,"Deep Learning, Git, Data Visualization",Bachelor,0,Manufacturing,2024-10-16,2024-12-02,5.9,DataVision Ltd,On-site,2024,47,10,October
AI Architect,61352,Mid Level,Contract,Japan,Medium,100,"Git, Python, NLP, Linux",Master,3,Technology,2025-04-25,2025-06-24,6.3,TechCorp Inc,Remote,2025,60,4,April
AI Research Scientist,77636,Senior Level,Contract,Ireland,Small,100,"SQL, Linux, Docker, Tableau",PhD,5,Transportation,2024-02-08,2024-04-14,8.9,Predictive Systems,Remote,2024,66,2,February
Research Scientist,214326,Senior Level,Part-Time,Denmark,Large,50,"Spark, Statistics, SQL, Python",Associate,6,Healthcare,2024-01-17,2024-03-22,6.4,DeepTech Ventures,Hybrid,2024,65,1,January
Data Scientist,71473,Mid Level,Contract,Austria,Medium,100,"Kubernetes, Java, Mathematics, TensorFlow, R",Bachelor,4,Education,2024-04-08,2024-06-03,8.0,Neural Networks Co,Remote,2024,56,4,April
Head of AI,48920,Mid Level,Contract,Japan,Small,100,"PyTorch, Docker, AWS, Linux, Java",Associate,2,Consulting,2024-04-25,2024-05-29,9.5,Machine Intelligence Group,Remote,2024,34,4,April
Data Engineer,63273,Mid Level,Freelance,South Korea,Small,50,"Mathematics, SQL, MLOps",Master,4,Finance,2024-08-23,2024-09-30,9.4,Digital Transformation LLC,Hybrid,2024,38,8,August
AI Product Manager,134087,Executive Level,Full-Time,Australia,Small,0,"Python, Scala, TensorFlow, Spark, GCP",PhD,12,Consulting,2024-07-01,2024-07-24,5.9,Neural Networks Co,On-site,2024,23,7,July
Deep Learning Engineer,142446,Senior Level,Freelance,Norway,Medium,50,"Git, Python, Kubernetes",PhD,9,Real Estate,2024-11-14,2024-12-29,9.6,Advanced Robotics,Hybrid,2024,45,11,November
AI Specialist,159755,Senior Level,Full-Time,United Kingdom,Large,50,"MLOps, PyTorch, Git",PhD,9,Gaming,2024-07-30,2024-09-28,8.7,AI Innovations,Hybrid,2024,60,7,July
Computer Vision Engineer,188034,Executive Level,Full-Time,Germany,Large,100,"Java, Spark, NLP, Hadoop, Python",Master,13,Telecommunications,2024-10-21,2024-11-26,6.9,Machine Intelligence Group,Remote,2024,36,10,October
Data Scientist,125153,Senior Level,Full-Time,Netherlands,Small,50,"R, Python, Data Visualization, TensorFlow",Master,9,Manufacturing,2024-03-08,2024-03-25,8.9,TechCorp Inc,Hybrid,2024,17,3,March
Machine Learning Engineer,146076,Executive Level,Part-Time,South Korea,Medium,50,"Hadoop, Python, Computer Vision",Master,11,Government,2024-01-18,2024-02-22,5.1,Autonomous Tech,Hybrid,2024,35,1,January
Principal Data Scientist,140113,Senior Level,Contract,Australia,Medium,50,"PyTorch, Kubernetes, R",Master,5,Telecommunications,2024-05-04,2024-07-15,9.1,Algorithmic Solutions,Hybrid,2024,72,5,May
AI Software Engineer,73269,Entry Level,Full-Time,United Kingdom,Small,50,"Kubernetes, Data Visualization, GCP, MLOps, PyTorch",Associate,0,Automotive,2024-12-04,2025-01-15,5.2,Advanced Robotics,Hybrid,2024,42,12,December
AI Software Engineer,103806,Mid Level,Contract,United States,Large,100,"NLP, Tableau, Azure, R",Associate,3,Finance,2024-09-02,2024-10-01,8.3,Digital Transformation LLC,Remote,2024,29,9,September
Principal Data Scientist,103370,Senior Level,Full-Time,Singapore,Small,0,"Hadoop, Python, Git",Bachelor,7,Energy,2024-12-05,2025-01-31,8.9,Autonomous Tech,On-site,2024,57,12,December
Machine Learning Engineer,142657,Executive Level,Freelance,Ireland,Medium,100,"Python, SQL, Hadoop, Computer Vision",Bachelor,13,Telecommunications,2024-09-16,2024-10-20,5.6,DeepTech Ventures,Remote,2024,34,9,September
Research Scientist,291226,Executive Level,Freelance,Denmark,Small,50,"GCP, Git, MLOps, Kubernetes",Bachelor,10,Government,2024-07-08,2024-08-23,5.6,DataVision Ltd,Hybrid,2024,46,7,July
Data Scientist,65226,Entry Level,Freelance,United States,Small,100,"Python, Git, TensorFlow",Associate,0,Consulting,2024-06-11,2024-07-06,8.2,Machine Intelligence Group,Remote,2024,25,6,June
AI Specialist,108886,Entry Level,Freelance,Switzerland,Medium,50,"R, Tableau, Python, Statistics, Deep Learning",Bachelor,0,Real Estate,2024-02-16,2024-03-03,5.3,Cloud AI Solutions,Hybrid,2024,16,2,February
Computer Vision Engineer,271344,Executive Level,Contract,Canada,Large,50,"PyTorch, Tableau, Azure, NLP",Bachelor,17,Retail,2024-01-13,2024-03-19,6.7,TechCorp Inc,Hybrid,2024,66,1,January
Data Scientist,171571,Senior Level,Freelance,Switzerland,Medium,100,"MLOps, R, Data Visualization",Associate,7,Consulting,2024-12-31,2025-03-02,8.6,Algorithmic Solutions,Remote,2024,61,12,December
Data Engineer,82918,Senior Level,Part-Time,Finland,Small,0,"Scala, Hadoop, Spark",PhD,9,Telecommunications,2024-08-30,2024-09-30,5.8,AI Innovations,On-site,2024,31,8,August
AI Product Manager,136651,Executive Level,Contract,Japan,Medium,0,"GCP, Java, Mathematics, Kubernetes",Bachelor,17,Manufacturing,2024-09-01,2024-11-05,5.6,Machine Intelligence Group,On-site,2024,65,9,September
AI Software Engineer,237637,Executive Level,Full-Time,Sweden,Large,0,"PyTorch, Python, AWS",Associate,17,Technology,2024-02-02,2024-02-22,5.7,Predictive Systems,On-site,2024,20,2,February
AI Consultant,59160,Entry Level,Full-Time,Ireland,Large,50,"Azure, AWS, GCP, Tableau",Bachelor,0,Transportation,2024-01-17,2024-03-20,7.4,Predictive Systems,Hybrid,2024,63,1,January
Research Scientist,49162,Entry Level,Freelance,China,Large,0,"AWS, Python, Tableau",Associate,0,Media,2025-03-27,2025-04-20,9.2,Smart Analytics,On-site,2025,24,3,March
Robotics Engineer,83663,Senior Level,Full-Time,India,Medium,100,"Linux, AWS, Java, Spark, Deep Learning",Master,5,Technology,2024-12-13,2024-12-28,7.4,Future Systems,Remote,2024,15,12,December
